team_id,team,country_id,short_name,entry_date
1720,Vanuatu,247,VUT,2025-05-04
1721,Argentina,22,ARG,2025-05-04
1722,Vanuatu,247,VUT,2025-05-04
1723,Austria,34,"AUT ",2025-05-04
1724,Austria,34,"AUT ",2025-05-04
1725,USA,20,USA,2025-05-04
1728,Turkey,236,"TUR ",2025-05-04
1730,Thailand,230,THA,2025-05-04
1731,Tanzania,229,TAN,2025-05-04
1732,Tanzania,229,TAN,2025-05-04
1733,Sweden,224,"SWE ",2025-05-04
1734,Sweden,224,"SWE ",2025-05-04
1735,Eswatini,223,SWZ,2025-05-04
1736,Eswatini,223,SWZ,2025-05-04
1737,Suriname,221,SUR,2025-05-04
1739,Spain,216,ESP,2025-05-04
1740,Spain,216,ESP,2025-05-04
1741,South Korea,132,KOR,2025-05-04
1742,Slovenia,212,SVN,2025-05-04
1744,Singapore,210,SIN,2025-05-04
1745,Sierra Leone,209,SRL,2025-05-04
1746,Sierra Leone,209,SRL,2025-05-04
1747,Seychelles,208,SEY,2025-05-04
1749,Serbia,207,SER,2025-05-04
1750,Serbia,207,SER,2025-05-04
1751,Saudi Arabia,205,SDA,2025-05-04
1753,Samoa,202,SAM,2025-05-04
1754,Samoa,202,SAM,2025-05-04
1755,St Helena,219,SHN,2025-05-04
1757,Rwanda,196,RWA,2025-05-04
1758,Rwanda,196,RWA,2025-05-04
1761,Romania,194,ROM,2025-05-04
1762,Romania,194,ROM,2025-05-04
1763,Qatar,192,QAT,2025-05-04
1764,Qatar,192,QAT,2025-05-04
1765,Portugal,190,POR,2025-05-04
1767,Philippines,187,PHI,2025-05-04
1768,Philippines,187,PHI,2025-05-04
1771,Panama,183,PAN,2025-05-04
1774,Norway,180,NOR,2025-05-04
1775,Norway,180,NOR,2025-05-04
1776,Nigeria,176,NGR,2025-05-04
1777,Myanmar,168,MMR,2025-05-04
1778,Myanmar,168,MMR,2025-05-04
1779,Mozambique,167,MOZ,2025-05-04
1780,Mozambique,167,MOZ,2025-05-04
1783,Mexico,158,MEX,2025-05-04
1785,Malta,152,MLT,2025-05-04
1786,Malta,152,MLT,2025-05-04
1787,Mali,151,MLI,2025-05-04
1789,Maldives,150,MDV,2025-05-04
1791,Malawi,148,MAW,2025-05-04
1792,Malawi,148,MAW,2025-05-04
1793,Luxembourg,144,"LUX ",2025-05-04
1794,Luxembourg,144,"LUX ",2025-05-04
1795,Lesotho,139,LES,2025-05-04
1796,Lesotho,139,LES,2025-05-04
1797,Kuwait,134,KUW,2025-05-04
1798,Kuwait,134,KUW,2025-05-04
1799,Kenya,14,KEN,2025-05-04
1800,Jersey,259,JSY,2025-05-04
1801,Japan,128,JPN,2025-05-04
1802,Italy,125,ITA,2025-05-04
1803,Israel,124,ISR,2025-05-04
1805,Isle of Man,272,IOM,2025-05-04
1806,Isle of Man,272,IOM,2025-05-04
1809,Indonesia,121,INA,2025-05-04
1810,Indonesia,121,INA,2025-05-04
1811,Hungary,119,"HUN ",2025-05-04
1813,Hong Kong,17,HK,2025-05-04
1814,Guernsey,270,GSY,2025-05-04
1815,Guernsey,242,GBR,2025-05-04
1816,Greece,105,GRE,2025-05-04
1817,Greece,105,GRE,2025-05-04
1818,Gibraltar,104,GIB,2025-05-04
1819,Gibraltar,104,GIB,2025-05-04
1820,Ghana,103,GHA,2025-05-04
1822,Germany,102,GER,2025-05-04
1823,Germany,102,GER,2025-05-04
1824,Gambia,100,GAM,2025-05-04
1826,France,93,"FRA ",2025-05-04
1827,France,93,"FRA ",2025-05-04
1828,Finland,92,FIN,2025-05-04
1830,Fiji,91,FIJ,2025-05-04
1833,Estonia,87,"EST ",2025-05-04
1834,Estonia,87,"EST ",2025-05-04
1835,Czechia,75,CZE,2025-05-04
1837,Cyprus,74,"CYP ",2025-05-04
1838,Cyprus,74,"CYP ",2025-05-04
1839,Croatia,72,CRO,2025-05-04
1840,Croatia,72,CRO,2025-05-04
1841,Costa Rica,70,CRI,2025-05-04
1843,Cook Islands,69,COK,2025-05-04
1844,Cook Islands,69,COK,2025-05-04
1850,China,63,CHN,2025-05-04
1856,Canada,12,CAN,2025-05-04
1857,Cameroon,56,CMR,2025-05-04
1858,Cameroon,56,CMR,2025-05-04
1859,Bulgaria,52,BUL,2025-05-04
1860,Bulgaria,52,BUL,2025-05-04
1861,Brazil,48,BRA,2025-05-04
1862,Brazil,48,BRA,2025-05-04
1863,Botswana,46,BOT,2025-05-04
1864,Botswana,46,BOT,2025-05-04
1865,Bhutan,43,BHU,2025-05-04
1866,Bhutan,43,BHU,2025-05-04
1868,Belize,41,BIZ,2025-05-04
1870,Belgium,40,"BEL ",2025-05-04
1872,Bahrain,37,BRN,2025-05-04
1873,Bahrain,37,BRN,2025-05-04
2833,Switzerland,225,CHE,2025-05-04
3512,Cambodia,55,KHM,2025-05-04
3790,Cambodia,55,KHM,2025-05-04
4025,Mongolia,163,MNG,2025-05-04
4026,Mongolia,163,MNG,2025-05-04
